Kanji,Reading,Meaning,Japanese Example,English Example
ああ,ああ,"Ah!, Oh!",ああ、そうでしたか。,"Ah, is that so?"
会う,あう,"to meet, to see",明日友達に会います。,I will meet my friend tomorrow.
青,あお,blue,空が青いですね。,The sky is blue.
青い,あおい,blue,彼女は青いドレスを着ています。,She is wearing a blue dress.
赤,あか,red,りんごは赤いです。,Apples are red.
赤い,あかい,red,彼の車は赤いです。,His car is red.
明るい,あかるい,bright (in reference to personality or weather); cheerful,彼女は明るい性格です。,She has a bright personality.
秋,あき,fall (season),秋には紅葉が綺麗です。,Autumn leaves are beautiful in the fall.
開く,あく,"to open, to become open",ドアを開いてください。,Please open the door.
開ける,あける,to open (v.t.),窓を開けてください。,Please open the window.
上げる,あげる,"to raise, to lift",手を上げてください。,Please raise your hand.
朝,あさ,morning,朝ごはんを食べましたか。,Did you eat breakfast?
朝御飯,あさごはん,breakfast,今朝の朝御飯はトーストでした。,This morning's breakfast was toast.
明後日,あさって,day after tomorrow,明後日は会議があります。,There is a meeting the day after tomorrow.
足; 脚,あし,foot; leg,足を怪我してしまいました。,I injured my leg.
明日,あした,tomorrow,明日は晴れる予報です。,Tomorrow's weather forecast is sunny.
あそこ,あそこ,"there, over there, that place",あそこに猫がいます。,There is a cat over there.
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,友達と公園で遊びました。,I played in the park with my friends.
暖かい,あたたかい,warm,今日は暖かい日です。,Today is a warm day.
頭,あたま,head,頭痛がします。,I have a headache.
新しい,あたらしい,new,新しい靴を買いました。,I bought new shoes.
あちら,あちら,this way (polite),あちらにお座りください。,Please have a seat over there.
暑い,あつい,"hot (in reference to weather), warm",今日は暑いですね。,"It's hot today, isn't it?"
熱い,あつい,hot (objects),お茶が熱いです。,The tea is hot.
厚い,あつい,"kind, warm(hearted), thick, deep",心のあたたかさを大切にしましょう。,Let's cherish the warmth of our hearts.
あっち,あっち,over there,あっちに行こう。,Let's go over there.
後,あと,afterwards (later); in the future; the rest; since then,昼ご飯の後、散歩しましょう。,Let's take a walk after lunch.
あなた,あなた,you,あなたの名前は何ですか。,What is your name?
兄,あに,(my) older brother (humble),私の兄は医者です。,My older brother is a doctor.
姉,あね,(my) older sister (humble),姉はとても親切です。,My older sister is very kind.
アパート,アパート,apartment (abbr.),アパートで一人暮らしをしています。,I live alone in an apartment.
あの,あの,"that over there; like that, that way; um...",あの店にはよく行きます。,I often go to that store.
浴びる,あびる,"to bathe, to shower",シャワーを浴びてから寝ます。,I take a shower before going to bed.
危ない,あぶない,"dangerous, critical",その道は危ないですよ。,That road is dangerous.
甘い,あまい,"generous, sweet",彼女は笑顔がとても甘い。,She has a very sweet smile.
余り,あまり,not very; surplus,お金が余りありません。,I don't have much money left.
雨,あめ,rain,雨が降っています。,It's raining.
飴,あめ,(hard) candy,お祭りで飴を買いました。,I bought candy at the festival.
洗う,あらう,to wash,服を洗って干しました。,I washed and hung up the clothes.
在る,ある,"to be, to have",そこに本が在ります。,There is a book there.
有る,ある,"to be, to have",町には美しい庭が有る。,The town has a beautiful garden.
